"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19915","TS_001 - Validate the Sign-up functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_001 - Validate the Sign-up functionality",""
"","19297","TS_007 - Validate the About Us functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_007 - Validate the About Us functionality",""
"","19277","TS_008 - Validate the Shopping Cart functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_008 - Validate the Shopping Cart functionality",""
"","19311","TS_002 - Validate the Login functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_002 - Validate the Login functionality",""
"","19346","TS_006 - Validate the Contact functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_006 - Validate the Contact functionality",""
"","19310","TS_009 - Validate the Place Order functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_009 - Validate the Place Order functionality",""
"","19327","TS_010 - Validate the Logout functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_010 - Validate the Logout functionality",""
"","19202","TS_003 - Validate product details (name, image, description, price)","","2026-09-21","failed","2026-09-21","","Test Suite","TS_003 - Validate product details (name, image, description, price)",""
"","21457","TS_004 - Validate the Home Page functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_004 - Validate the Home Page functionality",""
"","19252","TS_005 - Validate the Search for a product by category functionality","","2026-09-21","failed","2026-09-21","","Test Suite","TS_005 - Validate the Search for a product by category functionality",""
